"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 04 19:43:19 EDT 2026","Sat Apr 04 19:43:20 EDT 2026","356","tests","test_cart","TestAddRemove","","","test_remove_from_inventory_page[firefox]",""
"passed","Sat Apr 04 19:43:06 EDT 2026","Sat Apr 04 19:43:06 EDT 2026","67","tests","test_inventory","TestItemDetail","","","test_burger_menu_opens[chromium]",""
"passed","Sat Apr 04 19:43:17 EDT 2026","Sat Apr 04 19:43:19 EDT 2026","1827","tests","test_checkout","TestOrderComplete","","","test_pony_express_image[firefox]",""
"passed","Sat Apr 04 19:43:05 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","43","tests","test_inventory","TestSorting","","","test_za[chromium]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","153","tests","test_cart","TestCartPage","","","test_checkout_button_visible[chromium]",""
"passed","Sat Apr 04 19:43:16 EDT 2026","Sat Apr 04 19:43:19 EDT 2026","2434","tests","test_checkout","TestOrderComplete","","","test_finish_shows_thank_you[firefox]",""
"passed","Sat Apr 04 19:43:08 EDT 2026","Sat Apr 04 19:43:09 EDT 2026","945","tests","test_auth","TestLogin","","","test_empty_password_shows_error[firefox]",""
"passed","Sat Apr 04 19:43:06 EDT 2026","Sat Apr 04 19:43:06 EDT 2026","143","tests","test_inventory","TestItemDetail","","","test_back_to_products[chromium]",""
"passed","Sat Apr 04 19:43:10 EDT 2026","Sat Apr 04 19:43:11 EDT 2026","1175","tests","test_auth","TestLogin","","","test_login_button_present[firefox]",""
"passed","Sat Apr 04 19:43:22 EDT 2026","Sat Apr 04 19:43:23 EDT 2026","171","tests","test_inventory","TestItemDetail","","","test_burger_menu_opens[firefox]",""
"passed","Sat Apr 04 19:43:18 EDT 2026","Sat Apr 04 19:43:19 EDT 2026","1407","tests","test_checkout","TestOrderComplete","","","test_empty_cart_checkout[firefox]","go straight to checkout without adding anything"
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","275","tests","test_cart","TestAddRemove","","","test_remove_from_cart_page[chromium]",""
"passed","Sat Apr 04 19:43:08 EDT 2026","Sat Apr 04 19:43:09 EDT 2026","916","tests","test_auth","TestLogin","","","test_password_placeholder[firefox]",""
"passed","Sat Apr 04 19:43:14 EDT 2026","Sat Apr 04 19:43:18 EDT 2026","3184","tests","test_auth","TestLogin","","","test_bad_password[firefox]",""
"passed","Sat Apr 04 19:43:08 EDT 2026","Sat Apr 04 19:43:09 EDT 2026","181","tests","test_cart","TestAddRemove","","","test_add_one_item[firefox]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","412","tests","test_cart","TestAddRemove","","","test_add_all_six[chromium]",""
